Lot,Title,Current Bid,Required Bid,Bid Increment,Buyer Premium
1,"Henry Rifle, Model: H004BSA Golden Boy, Caliber: 22 S/L/LR, Ser. #BSA02843, Boy Scouts of America Centennial Edition, New In Box",325,,,10
2,"Henry Rifle, Model: H004 Golden Boy, Caliber 22 S/L/LR, Ser. #GB583971, Bicentennial, New In Box",450,,,10
3,"Henry Rifle, Model: H004 DD Golden Boy, Caliber: 22LR, Ser# GB0005320, Hand Engraved Fancy Walnut, New In Box",400,,,10
4,"Henry Rifle, Model: Golden Boy 1st. Edition, Caliber: 22 S/L/LR, Ser# MS00545, Engraved Military with Case, New In Box",625,,,10
5,"Henry Rifle, Model: H006 C Big Boy, Caliber: 45 Long Colt, Ser# BB02431C, New In Box",325,,,10
6,"Henry Rifle, Model: H006 Big Boy, Caliber: 44 Rem Mag., Ser# BB03279, New In Box",500,,,10
7,"Henry Rifle, Model: H004M, Caliber: 22 Mag, Ser# GB009178M, New In Box",240,,,10
8,"Henry Rifle, Model: H010B, Caliber: 45-70 GVT, Ser# FFSB01962, New In Box",550,,,10
9,"Henry Rifle, Model: H006M Big Boy, Caliber: 357 Mag, Ser# BB03542M, New In Box",325,,,10
10,"Henry Rifle, Model: H009B, Caliber: 30-30Win, Ser# TTB003402, New In Box",500,,,10
11,"Henry Rifle, Model: H004V Golden Boy, Caliber: 17HMR, Ser.# GB001655V, New In Box",350,,,10
12,"Remington Shotgun, Model: 1100, Caliber: 20, Ser.# R019095K",600,,,10
13,"Remington Rifle, Model: 552, Caliber: 22SLLR, Ser.# 1947924, Speedmaster",65,,,10
14,"Benelli Over/Under Shotgun, Model: FRANCHI, Caliber: 20, Ser.# INSTINCTL",700,,,10
15,"Walther Rifle with Scope Weaver K10, Model: N/A, Caliber: Possible 22, Ser.# 78068",95,,,10
16,"Stevens Rifle, Gallery Gun, Model: SVG, Caliber: 22SLLR, Ser.# 0948",120,,,10
17,"Browning Rifle with Leupold 3-9 Vari-XIIC, Model: Safari Bar II, Serial # 107NX05694",500,,,10
18,"Ruger Rifle Special Edition Standard Mount 4x21 NATO Standard Model C.M.O., Model: Ranch Rifle, Caliber: .223, Serial #195-10487",425,,,10
19,"US Carbine Rifle, Model: MI, Caliber: 30MI, Serial # 4635",325,,,10
20,"Norinco Rifle, Model: MAK-90 Sporter, Caliber: 7.62x39, Serial #94114777",325,,,10
21,"Intrac Rifle, Caliber: 7.62x39, Serial # AC0065880",375,,,10
22,"Ruger Rifle, Model: Mini14, Caliber: .223, Serial#185-88744",375,,,10
23,"Remington Rifle with Bushnell 3-9 Scope, Model 770, Caliber: REM MAG 7mm, Serial #7139-7345",160,,,10
24,"Marlin Rifle, Model: 25M, Caliber 22 WMR, Serial # 12664693",140,,,10
25,"Rifle, 7.92 Caliber; Serial # 2C-9264",50,,,10
26,"American Rifle, Model: 16, Caliber: 22LR, Serial # 434737",50,,,10
27,"Rifle, 023 on Bolt, No Other Markings",50,,,10
28,"Kmart Rifle with Valor 3x-6x20 Scope, Model: 20, Caliber 22 LR, Serial # 23-980057",50,,,10
29,"Savage Arms Shotgun, Model: Ranger 101-2, Caliber: 20",50,,,10
