lot,bid,category,inboundShip,verdict,maxBid,walkAway,headroom,netProfit,soldP25,soldCount,dealerFloor,label,error
500,630,rifle,55,,,836,206,,,0,836,"Christensen Arms Evoke 300 PRC",
501,490,rifle,55,,,,,,,0,,"Browning AB3 300 WIN MAG",
502,610,rifle,55,GO,1041.63,659,49,548.53,1379.25,12,659,"Browning X-Bolt 6.5 PRC",
503,710,rifle,55,NO-GO,626.67,626.67,-83.33,-46.25,880,21,659,"Browning X-Bolt 7mm PRC",
504,440,rifle,55,,,,,,,0,,"Bergara 30-06 B-14 Ridge 61-06-210277-22 30-06",
505,250,rifle,55,NO-GO,133.71,133.71,-116.29,-84.32,284.5,24,344,"Ruger American 30-06",
506,610,rifle,55,,,,,,,0,,"Howa Vanguard 6.5 PRC",
507,480,rifle,55,,,659,179,,,0,659,"Browning X-Bolt 7mm Rem Mag",
508,135,rifle,55,NO-GO,128.01,128.01,-6.99,41.92,277.5,27,,"Savage 111 270 WIN",
509,530,rifle,55,,,,,,,0,,"Tikka 300 Win Short Mag 300 Win Short Mag",
900,110,shotgun,55,NO-GO,69.82,69.82,-40.18,3.59,206,112,634.81,"Mossberg 835",
901,55,shotgun,55,GO,62.9,62.9,7.9,59.12,197.5,47,211.19,"Mossberg 500",
902,52.5,shotgun,55,NO-GO,46.22,46.22,-6.28,42.74,177,41,,"Tokarev TAR 12",
903,50,shotgun,55,GO,219.57,219.57,169.57,245.85,390,19,,"Panzer Mag 12",
904,65,handgun,45,NO-GO,56.3,56.3,-8.7,39.95,178.75,44,,"Hi-Point 4595 45 ACP",
905,70,handgun,45,GO,84.79,84.79,14.79,67.08,213.75,14,,"Hi-Point 1095 10mm",
906,380,rifle,55,,,,,,,0,,"Century Arms C308",
907,110,rifle,55,,,,,,,0,,"American Tactical American Tatical 5.56/.223 Alpha 5.56",
908,155,rifle,55,NO-GO,146.94,146.94,-8.06,40.68,300.75,16,,"Anderson AM-15 5.56",
909,67.5,handgun,45,GO,84.79,84.79,17.29,69.97,213.75,14,,"Hi-Point 1095 10MM",
910,105,rifle,55,GO,146.94,146.94,41.94,98.43,300.75,16,,"Anderson AM-15 5.56",
911,60,handgun,45,NO-GO,2.38,2.38,-57.62,-16.55,112.5,3,,"Hi-Point 4095",
912,490,rifle,55,,,651.09,161.09,,,0,651.09,"Henry Big Boy 44 REM",
913,510,rifle,55,,,,,,,0,,"Century Arms CETME 7.62",
914,42.5,handgun,45,GO,56.3,56.3,13.8,65.94,178.75,44,,"Hi-Point 4595 45ACP",
915,57.5,handgun,45,NO-GO,24.76,24.76,-32.74,12.19,140,108,309.99,"Hi-Point 995",
916,185,rifle,55,NO-GO,162.6,162.6,-22.4,24.12,320,20,,"DPMS A-15 223",
917,135,rifle,55,GO,187.01,187.01,52.01,110.07,350,29,451.96,"Diamondback DB15 5.56",
918,500,shotgun,55,NO-GO,164.03,164.03,-335.97,-338.05,321.75,20,,"Smith & Wesson 5.56 M & P-15 5.56",
919,135,shotgun,55,,,534.99,399.99,,,0,534.99,"Rock Island Armory VR80",
920,57.5,shotgun,55,NO-GO,46.22,46.22,-11.28,36.97,177,41,,"Tokarev TBP12",
921,105,rifle,55,,,,,,,0,,"American Tactical 5.56 OMNI Hybrid NS244327 5.56",
922,57.5,shotgun,55,,,534.99,477.49,,,0,534.99,"Rock Island Armory VR80",
923,205,rifle,55,NO-GO,146.94,146.94,-58.06,-17.06,300.75,16,,"Anderson AM-15 5.56",
924,320,handgun,45,NO-GO,118.35,118.35,-201.65,-182.9,255,171,,"Kel-Tec Sub-2000 9MM",
925,160,rifle,55,NO-GO,146.94,146.94,-13.06,34.91,300.75,16,,"Anderson AM-15 5.56",
926,115,rifle,55,GO,187.01,187.01,72.01,133.17,350,29,451.96,"Diamondback DB15 5.56",
927,80,rifle,55,GO,162.6,162.6,82.6,145.4,320,20,,"DPMS A-15 223",
928,40,handgun,45,NO-GO,0,0,-40,0.68,106.25,2,158.89,"Hi-Point JCP",
929,27.5,handgun,45,,,158.89,131.39,,,0,158.89,"Hi-Point JHP 45 ACP",
930,25,handgun,45,,,,,,,0,,"Hi-Point Hi Point 45 ACP 45 ACP",
931,25,handgun,45,,,158.89,133.89,,,0,158.89,"Hi-Point JHP 45 ACP",
932,90,handgun,45,NO-GO,39.41,39.41,-50.59,-8.43,158,15,,"Taurus PT24/7",
933,62.5,handgun,45,NO-GO,39.41,39.41,-23.09,23.33,158,15,,"Taurus PT24/7 45 ACP",
934,280,handgun,45,NO-GO,91.5,91.5,-188.5,-167.72,222,43,,"Springfield XD-40",
935,235,handgun,45,NO-GO,91.5,91.5,-143.5,-115.75,222,43,,"Springfield XD-40",
936,250,rifle,55,NO-GO,210.61,210.61,-39.39,4.51,379,21,390.78,"Taurus TH10 10MM",
937,60,handgun,45,NO-GO,52.23,52.23,-7.77,41.02,173.75,24,234.35,"Chiappa 1911-22 22LR",
938,22.5,handgun,45,,,158.89,136.39,,,0,158.89,"Hi-Point JHP",
939,52.5,handgun,45,NO-GO,8.48,8.48,-44.02,-0.84,120,472,,"Taurus G2C 9MM",
940,100,handgun,45,NO-GO,17.44,17.44,-82.56,-45.36,131,217,256.99,"Taurus G3C",
941,52.5,handgun,45,NO-GO,8.48,8.48,-44.02,-0.84,120,472,,"Taurus G2C 9MM",
942,52.5,handgun,45,NO-GO,39.41,39.41,-13.09,34.88,158,15,,"Taurus PT24/7",
943,52.5,handgun,45,GO,594.18,307,254.5,675.64,830.5,15,307,"Springfield XD",
944,60,rifle,55,NO-GO,7.97,7.97,-52.03,-10.1,130,108,,"Taurus PT111 G2 9MM",
945,115,handgun,45,NO-GO,39.41,39.41,-75.59,-37.31,158,15,,"Taurus PT24/7",
946,92.5,handgun,45,NO-GO,8.48,8.48,-84.02,-47.04,120,472,,"Taurus G2C 9MM",
947,25,handgun,45,,,158.89,133.89,,,0,158.89,"Hi-Point JHP 45ACP",
948,25,handgun,45,NO-GO,0,0,-25,18,106.25,2,158.89,"Hi-Point JCP",
949,32.5,handgun,45,,,158.89,126.39,,,0,158.89,"Hi-Point JHP 45 ACP",
950,82.5,handgun,45,NO-GO,8.48,8.48,-74.02,-35.49,120,472,,"Taurus G2C 9MM",
951,135,handgun,45,NO-GO,32.9,32.9,-102.1,-67.93,150,67,,"Stoeger STR-9",
953,120,handgun,45,NO-GO,29.24,29.24,-90.76,-54.83,145.5,111,,"Ruger LC9 9mm",
954,310,rifle,55,GO,317.68,317.68,7.68,58.87,508.25,16,,"Kel-Tec RDB 5.56",
2070,205,rifle,55,NO-GO,125.97,125.97,-79.03,-41.27,275,65,459.99,"Savage 110 30-06",
2077,230,rifle,55,GO,518.61,518.61,288.61,383.35,750,56,,"Ruger Mark II 22 LR",
2078,410,rifle,55,NO-GO,146.32,146.32,-263.68,-254.55,300,75,381.99,"Taurus Judge",
2084,295,rifle,55,,,,,,,0,,"Century Arms C39V2 7.62x39mm",
3032,340,rifle,55,,,299.99,-40.01,,,0,299.99,"Savage 10 300 Win short mag",
3033,130,rifle,55,,,,,,,0,,"Mossberg 715T 22 LR",
3034,380,rifle,55,,,349,-31,,,0,349,"Ruger 10/22 17 HM2",
3165,210,rifle,55,GO,331.6,331.6,121.6,190.45,525,161,1019,"Winchester Model 70 270 Win",
3166,105,rifle,55,,,,,,,0,,"Marlin 70P 22LR",
3167,630,rifle,55,NO-GO,580.95,580.95,-49.05,-6.65,825,35,,"Black Rain Ordnance Spec15 223",
3168,200,rifle,55,NO-GO,162.6,162.6,-37.4,6.8,320,20,,"DPMS A-15 223",
3169,155,rifle,55,GO,331.6,331.6,176.6,253.97,525,161,1019,"Winchester Model 70 270 Win",
3171,155,rifle,55,NO-GO,65.75,65.75,-89.25,-53.09,201,1167,,"Ruger 22 LR 10/23 825-17220 22 LR",
3172,210,handgun,45,,,,,,,0,,"Winchester 270 WSM 70 G2471420 270 WSM",
3175,105,shotgun,55,,,,,,,0,,"Mossberg 12 gauge 5500 MK 12 gauge",
3177,200,shotgun,55,,,,,,,0,,"Beretta A303 12 gauge",
3178,160,shotgun,55,,,,,,,0,,"Stoeger 12 gauge Condor I 12 gauge",
3194,710,handgun,45,NO-GO,610.39,610.39,-99.61,-65.05,850,255,,"Smith & Wesson Model 29 44 Mag",
