Lot,Label,Category,Bid,MaxBid,Headroom,Verdict,SoldCount,P25,Median,Net,MatchNote,Error
91,"Savage Arms 110 Ultralite 7mm",handgun,275,773.22,498.22,GO,15,995,1100,622.95,"auto: SAVAGE 110 FCP HS PRECISION .338 LAPUA (Used, score 85) - 15 sold, 0 asking",""
38,"Sig Sauer P938 9mm",handgun,250,,403,,0,,,,"no catalog match for this manufacturer/model",""
192,"Marlin 444T Lever-Action",handgun,450,840.83,390.83,GO,59,1076,1225,499.46,"auto: MARLIN 444 .444 MARLIN (Used, score 85) - 59 sold, 4 asking",""
194,"Ruger 77 .22 Hornet",handgun,300,681.39,381.39,GO,25,885,1002,488.6,"auto: RUGER RUGER 77 22 .22 HORNET (Used, score 95) - 25 sold, 19 asking",""
42,"Sig Sauer P938 9mm",handgun,275,,378,,0,,,,"no catalog match for this manufacturer/model",""
430,"Winchester Case - Hornady 100 Grain BTSP, Qty: 10 of 20/ .243",handgun,150,515.48,365.48,GO,22,686.25,787.5,470.3,"auto: WINCHESTER 100 .243 WIN. (Used, score 95) - 22 sold, 0 asking",""
120,"Ruger Charger .22 LR",handgun,375,723.55,348.55,GO,26,935.5,1000,450.83,"auto: RUGER 22 CHARGER .22 HORNET (Used, score 75) - 26 sold, 0 asking",""
159,"Smith & Wesson Bodyguard .380 ACP",handgun,125,,345,,0,,,,"no catalog match for this manufacturer/model",""
17,"Winchester 9422 Lever-Action",handgun,300,622.96,322.96,GO,150,815,932.5,421.4,"auto: WINCHESTER 9422 .22 LR (Used, score 85) - 150 sold, 5 asking",""
128,"Springfield 15 22 S,L,LR",handgun,65,372.52,307.52,GO,11,515,550,403.65,"auto: SPRINGFIELD SAINT AR-15 5.56MM NATO (Used, score 85) - 11 sold, 23 asking",""
141,"Charter Arms Bulldog",handgun,85,,277.7,,0,,,,"no catalog match for this manufacturer/model",""
41,"Sig Sauer P365 9mm",handgun,200,,248,,0,,,,"no catalog match for this manufacturer/model",""
196,"Remington 700",handgun,325,569.95,244.95,GO,176,751.5,952.5,331.69,"auto: REMINGTON 700 .22-250 REM. (Used, score 85) - 176 sold, 16 asking",""
189,"Winchester 9422M . .22 WMR",handgun,375,593.74,218.74,GO,9,780,955,301.55,"auto: WINCHESTER 9422 .22 WMR (Used, score 95) - 9 sold, 1 asking",""
226,"Charter Arms Undercover .38 Special",handgun,85,,209.16,,0,,,,"no catalog match for this manufacturer/model",""
227,"Charter Arms Undercover .38 Special",handgun,90,,204.16,,0,,,,"no catalog match for this manufacturer/model",""
45,"Sig Sauer P365 9mm",handgun,250,,198,,0,,,,"no catalog match for this manufacturer/model",""
183,"Winchester 9410 . Lever-Action .410",handgun,750,940.17,190.17,GO,31,1195,1299,268.7,"auto: WINCHESTER MODEL 9410 410 BORE (Used, score 95) - 31 sold, 0 asking",""
187,"Browning -5 12ga",handgun,400,550.12,150.12,GO,32,727.75,873.5,222.64,"auto: BROWNING AUTO-5 LIGHT TWENTY 12 GAUGE (Used, score 75) - 32 sold, 0 asking",""
105,"Browning -5 12ga",handgun,425,550.12,125.12,GO,32,727.75,873.5,193.89,"auto: BROWNING AUTO-5 LIGHT TWENTY 12 GAUGE (Used, score 75) - 32 sold, 0 asking",""
212,"Sig Sauer SP2022 9mm",handgun,80,202.96,122.96,GO,117,310,350,191.4,"auto: SIG SAUER SP2022 9MM LUGER (Used, score 69) - 117 sold, 1 asking",""
440,"Winchester Dynapoint 22 WIN 45 Grain Hollow Point Copper Plated, Qty: 50",handgun,11,133.48,122.48,GO,59,225,299,190.85,"auto: WINCHESTER 50 12 GAUGE (Used, score 85) - 59 sold, 7 asking",""
142,"Colt Cobra .38 Special",handgun,200,322.43,122.43,GO,191,455,530,190.8,"auto: COLT COBRA .38 SPL. (Used, score 75) - 191 sold, 399 asking",""
413,"Winchester Super X 22 Win , 28-Grain Jacketed Tin Hollow Point, Qty: 50/",handgun,55,133.48,78.48,GO,59,225,299,140.25,"auto: WINCHESTER 50 12 GAUGE (Used, score 85) - 59 sold, 7 asking",""
18,"Marlin Original Golden 39A",handgun,350,426.37,76.37,GO,80,579.5,734,137.82,"auto: MARLIN 39 .22 LR (Used, score 85) - 80 sold, 2 asking",""
140,"Smith & Wesson 686 .357",handgun,375,442.64,67.64,GO,559,599,660,127.79,"auto: SMITH & WESSON 686 .357 MAG. (Used, score 95) - 559 sold, 4 asking",""
102,"Remington Sportsman 12ga",handgun,300,362.09,62.09,GO,55,502.5,640,121.4,"auto: REMINGTON 11-87 SPORTSMAN 12 GAUGE (Used, score 75) - 55 sold, 3 asking",""
309,"Smith & Wesson Magazine for SW40VE .40 S&W",handgun,21,80.35,59.35,GO,37,160,190,118.25,"auto: SMITH & WESSON 40 .40 S&W (Used, score 95) - 37 sold, 1 asking",""
222,"Smith & Wesson 64-2 .38 Special",handgun,200,256.09,56.09,GO,133,375,450,114.5,"auto: SMITH & WESSON 64 .38 SPL. (Used, score 95) - 133 sold, 5 asking",""
133,"Ruger Mini-14 with and Original Wood Stock",handgun,400,451.83,51.83,GO,323,610,700,109.6,"auto: RUGER MINI-14 .223 REM. (Used, score 85) - 323 sold, 221 asking",""
26,"Cz 75 9mm",handgun,325,374.19,49.19,GO,71,517,675,106.57,"auto: CZ-USA CZ 75 9MM LUGER (Used, score 95) - 71 sold, 374 asking",""
19,"Winchester U.S. of 1917 Bolt-Action",handgun,175,220.12,45.12,GO,81,331,430,101.89,"auto: WINCHESTER 1917 .30-06 (Used, score 85) - 81 sold, 4 asking",""
190,"Winchester 94 Lever-Action .30-30",handgun,375,418.43,43.43,GO,846,570,680.5,99.95,"auto: WINCHESTER 94 .30-30 WIN. (Used, score 95) - 846 sold, 65 asking",""
173,"Kahr Arms CT9 9mm",handgun,80,119.38,39.38,GO,10,207.75,218,95.29,"auto: KAHR CT9 9MM LUGER (New, score 69) - 10 sold, 294 asking",""
195,"Marlin 9",handgun,325,364.17,39.17,GO,29,505,551,95.05,"auto: MARLIN MODEL 9 CAMP CARBINE 9MM LUGER (Used, score 85) - 29 sold, 0 asking",""
64,"North American Arms NAA-22M . Mini .22 WMR",handgun,125,164.13,39.13,GO,23,262.5,285,95,"auto: NORTH AMERICAN ARMS (NAA) 22 MAGNUM .22 WMR (New, score 95) - 23 sold, 59 asking",""
