Lot,Title,Current Bid,Buyer Premium
10,"Radical Firearms RF-15 5.56 NATO Rifle with Pine Ridge 4-12x50 Rifle Scope and Laser in Heavy-Duty Plano Rustrictor Hard Case",350,15
11,"Ruger New Model Super Blackhawk 44 Mag Revolver in Gun Locker Hard Case",275,15
12,"Arthemis Silah Sanayi 12 Gauge Side-by-Side Double Barrel Shotgun - Engraved & Hand-Carved Stock",425,15
13,"Leopar SIL SAN 870 12-Gauge Semi-Automatic Shotgun - Engraved Turkish Walnut",275,15
14,"Alpha Foxtrot Romulus 9mm Pistol w/ Osight SE Enclosed Red Dot, (2) Magazines and Factory Bag",475,15
15,"Shadow Systems DR920 Elite 9mm Pistol with Holosun HS507C X2, (3) Magazines & Bag",625,15
17,"Winchester 9422 Lever-Action Rifle",300,15
18,"Marlin Original Golden 39A Rifle",350,15
19,"Winchester U.S. Model of 1917 Bolt-Action Rifle",175,15
20,"American Tactical FX45 GI .45 ACP Pistol",300,15
21,"Beretta APX 9mm Pistol",175,15
22,"Bond Arms Stinger Honey-B 9mm Pistol",150,15
23,"Canik TP9SA 9mm Pistol",200,15
24,"Rossi Brawler .410/.45LC Pistol",175,15
25,"Chiappa Empire 1911 Nebula .45 ACP Pistol",325,15
26,"CZ Model 75 9mm Pistol",325,15
27,"Double Tap Defense 9mm Pocket Pistol",225,15
28,"Glock 19 Gen 4 9mm Pistol",375,15
29,"Palmetto State Armory PA-15 7.62x39 Pistol",225,15
30,"RIA M1911 A1-FS 10mm Pistol",325,15
31,"RIA M1911 A1-CS .45 ACP Pistol",275,15
32,"Rossi RS22P .22 LR Pistol",175,15
33,"Ruger Security-9 Compact 9mm Pistol",175,15
34,"Ruger SR-1911 .45 ACP Pistol",375,15
35,"Ruger LC9 9mm Pistol",125,15
36,"SCCY CPX-2 9mm Pistol",125,15
37,"Sig Sauer P365 X 9mm Pistol",300,15
38,"Sig Sauer P938 9mm Pistol",250,15
39,"Sig Sauer P365-9-BXR3 9mm Pistol",250,15
40,"Sig Sauer P320 9mm Pistol",200,15
41,"Sig Sauer P365 9mm Pistol",200,15
42,"Sig Sauer P938 9mm Pistol",275,15
43,"Sig Sauer P226 .40 S&W Pistol",275,15
44,"Sig Sauer P238 Nightmare .380 ACP Pistol",250,15
45,"Sig Sauer P365 9mm Pistol",250,15
46,"Smith & Wesson M&P357C Pistol",175,15
47,"Smith & Wesson M&P9 Shield Pistol",225,15
48,"Springfield Armory Hellcat 9mm Pistol",250,15
49,"Taurus Firearms G3C 9mm Pistol",175,15
50,"Taurus PT-25 SS .25 Auto Pistol",125,15
51,"Taurus G3C 9x19mm Pistol",175,15
52,"Taurus G2S .40 S&W Pistol",95,15
53,"Taurus G2C 9mm Pistol",125,15
54,"Taurus G2C FDE 9x19mm Pistol",200,15
55,"Taurus Firearms G2C 9mm Pistol",95,15
56,"Taurus G2C 9mm Pistol",100,15
57,"Taurus G2C931-12 9x19mm Pistol",125,15
58,"Taurus G3C 9mm Pistol",125,15
59,"Walther Arms WMP 22WMR Pistol",200,15
