Lot,Title/Label,Bid,MaxBid,Headroom,Verdict,Sold,P25,Median,Net,Status,MatchNote
10,"Radical Firearms RF 15 with Pine Ridge 4-12x50 and Laser in Heavy Duty Plano Rustrictor Hard Case 5.56",350,189.11,-160.89,NO-GO,45,300,325,-140.57,NO-GO,"auto: RADICAL FIREARMS RF-15 5.56MM NATO (Used, score 95) - 45 sold, 13 asking"
11,"Ruger Super Blackhawk in Gun Locker Hard Case .44 Magnum",275,349.51,74.51,GO,23,500,549,138.26,GO,"auto: RUGER NEW MODEL SUPER BLACKHAWK BISLEY .44 MAG. (Used, score 88) - 23 sold, 146 asking"
12,"Arthemis Silah Sanayi Side by Side Double Barrel Engraved & Hand Carved Stock 12ga",425,,,,0,,,,no-comps,"no catalog match for this manufacturer/model"
13,"Leopar Sil San 870 Semi Automatic Engraved Turkish Walnut 12ga",275,,,,0,,,,no-comps,"no catalog match for this manufacturer/model"
14,"Alpha Foxtrot Romulus 9mm",475,,,,0,,,,no-comps,"no catalog match for this manufacturer/model"
15,"Shadow Systems DR920 Elite with Holosun HS507C X2, (3) Magazines & Bag 9mm",625,305.95,-319.05,NO-GO,40,446.25,525.5,-327.91,NO-GO,"auto: SHADOW SYSTEMS DR920 9MM LUGER (Used, score 69) - 40 sold, 455 asking"
17,"Winchester 9422 Lever Action",300,604.81,304.81,GO,150,815,932.5,411.05,GO,"auto: WINCHESTER 9422 .22 LR (Used, score 85) - 150 sold, 5 asking"
18,"Marlin Original Golden 39A",350,413.95,63.95,GO,80,579.5,734,125.75,GO,"auto: MARLIN 39 .22 LR (Used, score 85) - 80 sold, 2 asking"
19,"Winchester U.S. of 1917 Bolt Action",175,213.71,38.71,GO,81,331,430,95.85,GO,"auto: WINCHESTER 1917 .30-06 (Used, score 85) - 81 sold, 4 asking"
20,"American Tactical FX45 GI .45 ACP",300,,,,0,,,,no-comps,"no catalog match for this manufacturer/model"
21,"Beretta APX 9mm",175,114.72,-60.28,NO-GO,158,206.25,245,-21.41,NO-GO,"auto: BERETTA APX 9MM LUGER (Used, score 75) - 158 sold, 835 asking"
22,"Bond Arms Stinger Honey B 9mm",150,,,,0,,,,no-comps,"no catalog match for this manufacturer/model"
23,"Canik TP9SA 9mm",200,110.54,-89.46,NO-GO,25,201,228,-55.96,NO-GO,"auto: CANIK TP9SA 9MM LUGER (Used, score 88) - 25 sold, 3 asking"
24,"Rossi Brawler /.45LC .410",175,118.48,-56.52,NO-GO,13,211,220,-16.95,NO-GO,"auto: ROSSI BRAWLER 410 BORE (New, score 75) - 13 sold, 95 asking"
25,"Chiappa Empire 1911 Nebula .45 ACP",325,,,,0,,,,no-comps,"no catalog match for this manufacturer/model"
26,"Cz 75 9mm",325,363.29,38.29,GO,71,517,675,95.36,GO,"auto: CZ-USA CZ 75 9MM LUGER (Used, score 95) - 71 sold, 377 asking"
27,"Double Tap Defense Pocket 9mm",225,,,,0,,,,no-comps,"no catalog match for this manufacturer/model"
28,"Glock 19 Gen 4 9mm",375,248.63,-126.37,NO-GO,551,375,415,-99.69,NO-GO,"auto: GLOCK G19 9MM LUGER (Used, score 98) - 551 sold, 256 asking"
29,"Palmetto State Armory PA 15 7.62x39",225,188.32,-36.68,NO-GO,11,299,330,6.55,NO-GO,"auto: PALMETTO STATE ARMORY (PSA) PA-15 7.62X39 (Used, score 95) - 11 sold, 0 asking"
30,"Rock Island Armory M1911 A1 FS 10mm",325,,,,0,,,,no-comps,"no catalog match for this manufacturer/model"
31,"Rock Island Armory M1911 A1 CS .45 ACP",275,,,,0,,,,no-comps,"no catalog match for this manufacturer/model"
32,"Rossi RS22P .22 LR",175,,,,0,,,,no-comps,"no catalog match for this manufacturer/model"
33,"Ruger Security 9 Compact 9mm",175,71.86,-103.14,NO-GO,18,152.25,177.5,-72.17,NO-GO,"auto: RUGER SECURITY-9 COMPACT 9MM LUGER (Used, score 88) - 18 sold, 9 asking"
34,"Ruger SR 1911 .45 ACP",375,353.57,-21.43,NO-GO,173,505,551,24.61,NO-GO,"auto: RUGER SR1911 .45 ACP (Used, score 75) - 173 sold, 763 asking"
35,"Ruger LC9 9mm",125,66.31,-58.69,NO-GO,102,145.25,165,-19.52,NO-GO,"auto: RUGER LC9 9MM LUGER (Used, score 84) - 102 sold, 0 asking"
36,"Sccy CPX 2 9mm",125,34.76,-90.24,NO-GO,175,105.5,121,-56.89,NO-GO,"auto: SCCY CPX-2 9MM LUGER (Used, score 84) - 175 sold, 2 asking"
37,"Sig Sauer P365 X 9mm",300,268.47,-31.53,NO-GO,119,400,450,12.65,NO-GO,"auto: SIG SAUER P365-XL 9MM LUGER (Used, score 69) - 119 sold, 8232 asking"
38,"Sig Sauer P938 9mm",250,,403,,0,,,,no-comps,"no catalog match for this manufacturer/model"
39,"Sig Sauer P365-9 BXR3 9mm",250,,,,0,,,,no-comps,"no catalog match for this manufacturer/model"
40,"Sig Sauer P320 9mm",200,,,,0,,,,no-comps,"no catalog match for this manufacturer/model"
41,"Sig Sauer P365 9mm",200,,248,,0,,,,no-comps,"no catalog match for this manufacturer/model"
42,"Sig Sauer P938 9mm",275,,378,,0,,,,no-comps,"no catalog match for this manufacturer/model"
43,"Sig Sauer P226 .40 S&W",275,,,,0,,,,no-comps,"no catalog match for this manufacturer/model"
44,"Sig Sauer P238 Nightmare .380 ACP",250,,,,0,,,,no-comps,"no catalog match for this manufacturer/model"
45,"Sig Sauer P365 9mm",250,,198,,0,,,,no-comps,"no catalog match for this manufacturer/model"
46,"Smith & Wesson M&P357C",175,,,,0,,,,no-comps,"no catalog match for this manufacturer/model"
47,"Smith & Wesson M&P9 Shield",225,106.78,-118.22,NO-GO,42,196.25,230,-90.03,NO-GO,"auto: SMITH & WESSON M&P9 SHIELD 9MM LUGER (Used, score 74) - 42 sold, 0 asking"
48,"Springfield Hellcat 9mm",250,201.81,-48.19,NO-GO,350,316,362,-7.09,NO-GO,"auto: SPRINGFIELD HELLCAT 9MM LUGER (Used, score 75) - 350 sold, 320 asking"
49,"Taurus Firearms G3C 9mm",175,54.99,-120.01,NO-GO,200,131,151,-92.15,NO-GO,"auto: TAURUS G3C 9MM LUGER (Used, score 75) - 200 sold, 112 asking"
50,"Taurus PT 25 SS .25 Auto",125,101.02,-23.98,NO-GO,27,189,220,21.6,NO-GO,"auto: TAURUS PT-25 .25 ACP (6.5MM) (Used, score 85) - 27 sold, 0 asking"
51,"Taurus G3C 9x19mm",175,54.99,-120.01,NO-GO,200,131,151,-92.15,NO-GO,"auto: TAURUS G3C 9MM LUGER (Used, score 65) - 200 sold, 112 asking"
52,"Taurus G2S .40 S&W",95,,122.72,,0,,,,no-comps,"no catalog match for this manufacturer/model"
53,"Taurus G2C 9mm",125,46.26,-78.74,NO-GO,405,120,135,-43.26,NO-GO,"auto: TAURUS G2C 9MM LUGER (Used, score 75) - 405 sold, 248 asking"
54,"Taurus G2C FDE 9x19mm",200,46.26,-153.74,NO-GO,405,120,135,-132.1,NO-GO,"auto: TAURUS G2C 9MM LUGER (Used, score 65) - 405 sold, 248 asking"
55,"Taurus Firearms G2C 9mm",95,46.26,-48.74,NO-GO,405,120,135,-7.73,NO-GO,"auto: TAURUS G2C 9MM LUGER (Used, score 75) - 405 sold, 248 asking"
56,"Taurus G2C 9mm",100,46.26,-53.74,NO-GO,405,120,135,-13.65,NO-GO,"auto: TAURUS G2C 9MM LUGER (Used, score 75) - 405 sold, 248 asking"
57,"Taurus G2C931-12 9x19mm",125,,,,0,,,,no-comps,"no catalog match for this manufacturer/model"
58,"Taurus G3C 9mm",125,54.99,-70.01,NO-GO,200,131,151,-32.92,NO-GO,"auto: TAURUS G3C 9MM LUGER (Used, score 75) - 200 sold, 112 asking"
59,"Walther Arms WMP .22 WMR",200,,,,0,,,,no-comps,"no catalog match for this manufacturer/model"
60,"Arminius Firearms HW5 .22 LR",125,,,,0,,,,no-comps,"no catalog match for this manufacturer/model"
61,"Charter Arms Bulldog .38 S&W",150,,,,0,,,,no-comps,"no catalog match for this manufacturer/model"
62,"Heritage Firearms BK22B3 .22 LR",95,,,,0,,,,no-comps,"no catalog match for this manufacturer/model"
63,"North American Arms NAA 22 Mini",125,75.63,-49.37,NO-GO,41,157,180,-8.48,NO-GO,"auto: NORTH AMERICAN ARMS (NAA) 22 MAGNUM .22 LR (Used, score 85) - 41 sold, 23 asking"
64,"North American Arms NAA 22M Mini .22 WMR",125,159.35,34.35,GO,23,262.5,285,90.69,GO,"auto: NORTH AMERICAN ARMS (NAA) 22 MAGNUM .22 WMR (New, score 95) - 23 sold, 58 asking"
65,"Ruger Single Six .22 LR",225,238.71,13.71,GO,63,362.5,405,66.24,GO,"auto: RUGER NEW MODEL SINGLE-SIX CONVERTIBLE .22 LR (Used, score 88) - 63 sold, 160 asking"
66,"Ruger GP 100 .357",250,353.57,103.57,GO,365,505,556,172.67,GO,"auto: RUGER GP100 DELUXE .357 MAG. (Used, score 75) - 365 sold, 452 asking"
67,"Taurus 66 Stainless Steel .357",250,218.47,-31.53,NO-GO,133,337,365,12.65,NO-GO,"auto: TAURUS 66 .357 MAG. (Used, score 95) - 133 sold, 339 asking"
68,"Taurus M605 .357",225,149.43,-75.57,NO-GO,127,250,280,-39.51,NO-GO,"auto: TAURUS 605 .357 MAG. (Used, score 95) - 127 sold, 382 asking"
69,"Taurus 605 .357",225,149.43,-75.57,NO-GO,127,250,280,-39.51,NO-GO,"auto: TAURUS 605 .357 MAG. (Used, score 95) - 127 sold, 382 asking"
70,"Akkar 612 12ga",90,,,,0,,,,no-comps,"no catalog match for this manufacturer/model"
71,"Glenfield Firearms 50 Bolt Action 12ga",150,,,,0,,,,no-comps,"no catalog match for this manufacturer/model"
72,"Henry Repeating Arms Axe Brass Lever ActionÂ Firearm .410",675,,,,0,,,,no-comps,"no catalog match for this manufacturer/model"
73,"Jts Firearms M12AK 12ga",175,,,,0,,,,no-comps,"no catalog match for this manufacturer/model"
74,"Mossberg 500 Pump Action 12ga",225,103.8,-121.2,NO-GO,55,192.5,240,-93.56,NO-GO,"auto: MOSSBERG 500 12 GAUGE (Used, score 95) - 55 sold, 954 asking"
75,"Pardus AS 12ga",225,,,,0,,,,no-comps,"no catalog match for this manufacturer/model"
76,"Remington Arms 1100 12ga",350,356.81,6.81,GO,235,509,630,58.07,GO,"auto: REMINGTON 1100 12 GAUGE (Used, score 95) - 235 sold, 38 asking"
77,"Savage Arms 320 Pump Action 12ga",70,34.96,-35.04,NO-GO,12,105.75,108.5,8.49,NO-GO,"auto: SAVAGE 320 12 GAUGE (Used, score 95) - 12 sold, 126 asking"
78,"Stoeger Arms Condor 12ga",300,,,,0,,,,no-comps,"no catalog match for this manufacturer/model"
79,"Sun City Machinery 320 Pump Action 12ga",100,,,,0,,,,no-comps,"no catalog match for this manufacturer/model"
80,"Tokarev Bullpup M Semi Auto 12ga",175,,,,0,,,,no-comps,"no catalog match for this manufacturer/model"
81,"Tokarev TBP Semi Auto 12ga",200,,,,0,,,,no-comps,"no catalog match for this manufacturer/model"
82,"Archangel 556 .22 LR",200,,,,0,,,,no-comps,"no catalog match for this manufacturer/model"
83,"Kel-Tec SUB 2K40 .40 S&W",200,,,,0,,,,no-comps,"no catalog match for this manufacturer/model"
84,"Kel-Tec SUB2000 Gen 3 9mm",350,153.4,-196.6,NO-GO,154,255,280,-182.87,NO-GO,"auto: KELTEC SUB-2000 9MM LUGER (Used, score 95) - 154 sold, 110 asking"
85,"Mossberg 702 Plinkster .22 LR",75,40.31,-34.69,NO-GO,23,112.5,125,8.91,NO-GO,"auto: MOSSBERG 702 PLINKSTER .22 LR (Used, score 95) - 23 sold, 4 asking"
86,"Remington Sportsman 74 .30-06",250,,,,0,,,,no-comps,"no catalog match for this manufacturer/model"
87,"Remington 742 Woodsmaster .30-06",225,268.47,43.47,GO,326,400,466.5,101.49,GO,"auto: REMINGTON 742 .30-06 (Used, score 95) - 326 sold, 31 asking"
88,"Ruger American Predator .308",325,317.1,-7.9,NO-GO,136,460,564,40.64,NO-GO,"auto: RUGER AMERICAN PREDATOR .308 WIN. (New, score 88) - 136 sold, 86 asking"
89,"Ruger LC Carbine Semi Auto 5.7x28",375,313.04,-61.96,NO-GO,45,455,507,-23.39,NO-GO,"auto: RUGER LC CARBINE 5.7X28MM (Used, score 69) - 45 sold, 345 asking"
90,"Ruger Precision Bolt Action 6.5 Creedmoor",450,,,,0,,,,no-comps,"no catalog match for this manufacturer/model"
91,"Savage Arms 110 Ultralite 7mm",275,750.7,475.7,GO,15,995,1100,613.46,GO,"auto: SAVAGE 110 FCP HS PRECISION .338 LAPUA (Used, score 85) - 15 sold, 0 asking"
92,"Savage Arms 187N 22 S,L,LR",50,,,,0,,,,no-comps,"no catalog match for this manufacturer/model"
93,"Smith & Wesson M&P 15 5.56",250,243.87,-6.13,NO-GO,11,369,405,42.73,NO-GO,"auto: SMITH & WESSON M&P15 .223 REM. (Used, score 98) - 11 sold, 2 asking"
94,"Smith & Wesson T/C Compass 6.5 Creedmoor",250,,,,0,,,,no-comps,"no catalog match for this manufacturer/model"
95,"Stevens Firearms 62 .22 LR",80,,,,0,,,,no-comps,"no catalog match for this manufacturer/model"
96,"Marlin 336W Win Lever Action .30-30",500,400.57,-99.43,NO-GO,429,563,645,-67.77,NO-GO,"auto: MARLIN 336 .30-30 WIN. (Used, score 95) - 429 sold, 39 asking"
97,"Weatherby Mark V .22-250",625,704.09,79.09,GO,31,937.5,1075,143.69,GO,"auto: WEATHERBY MARK V .257 WBY. MAG. (Used, score 78) - 31 sold, 593 asking"
98,"Winchester 70 .30-06",275,402.2,127.2,GO,371,565,795,200.66,GO,"auto: WINCHESTER 70 .30-06 (Used, score 95) - 371 sold, 68 asking"
99,"Winchester 94 AE Winchester Lever Action .30-30",550,406.25,-143.75,NO-GO,846,570,680.5,-120.27,NO-GO,"auto: WINCHESTER 94 .30-30 WIN. (Used, score 95) - 846 sold, 67 asking"
100,"Winchester 1400 MK II 20ga",225,162.13,-62.87,NO-GO,22,266,328.5,-24.47,NO-GO,"auto: WINCHESTER 1400 20 GAUGE (Used, score 95) - 22 sold, 0 asking"
101,"Remington 870 12ga",225,204.98,-20.02,NO-GO,82,320,368.5,26.29,NO-GO,"auto: REMINGTON 870 12 GAUGE (Used, score 95) - 82 sold, 19 asking"
102,"Remington Sportsman 12ga",300,351.54,51.54,GO,55,502.5,640,111.05,GO,"auto: REMINGTON 11-87 SPORTSMAN 12 GAUGE (Used, score 75) - 55 sold, 3 asking"
103,"Remington 11-48 16ga",350,258.55,-91.45,NO-GO,31,387.5,495,-58.32,NO-GO,"auto: REMINGTON 11 16 GAUGE (Used, score 95) - 31 sold, 1 asking"
104,"Browning 32 12ga",350,,,,0,,,,no-comps,"no catalog match for this manufacturer/model"
105,"Browning Auto 5 12ga",425,534.1,109.1,GO,32,727.75,873.5,179.23,GO,"auto: BROWNING AUTO-5 LIGHT TWENTY 12 GAUGE (Used, score 84) - 32 sold, 0 asking"
106,"Sears, Roebuck, & Co 20ga 20ga",275,,,,0,,,,no-comps,"no catalog match for this manufacturer/model"
107,"Ithaca 37 12ga",225,169.27,-55.73,NO-GO,89,275,360,-16.01,NO-GO,"auto: ITHACA GUN CO. 37 12 GAUGE (Used, score 95) - 89 sold, 3 asking"
108,"Ithaca 37 20ga",175,241.09,66.09,GO,30,365.5,453.5,128.28,GO,"auto: ITHACA GUN CO. 37 20 GAUGE (Used, score 95) - 30 sold, 1 asking"
109,"Stevens 620 20ga",75,,,,0,,,,no-comps,"no catalog match for this manufacturer/model"
110,"Smith & Wesson 916A 12ga",125,50.23,-74.77,NO-GO,9,125,176,-38.56,NO-GO,"auto: SMITH & WESSON 916 12 GAUGE (Used, score 95) - 9 sold, 0 asking"
111,"Remington 740 SPRG .30-06",325,195.46,-129.54,NO-GO,74,308,362.5,-103.44,NO-GO,"auto: REMINGTON 740 .30-06 (Used, score 95) - 74 sold, 3 asking"
113,"Swiss 925",200,,,,0,,,,no-comps,"no catalog match for this manufacturer/model"
114,"Thompson/Center Arms Renegade .50 Black Powder Percussion",150,,,,0,,,,no-comps,"no catalog match for this manufacturer/model"
115,"Linberta PA 101 12ga",65,,,,0,,,,no-comps,"no catalog match for this manufacturer/model"
116,"Roma 816",125,,,,0,,,,no-comps,"no catalog match for this manufacturer/model"
117,"Dpms A 15 223/ 5.56",250,193.08,-56.92,NO-GO,19,305,355,-17.43,NO-GO,"auto: DPMS A-15 .223 REM. (Used, score 93) - 19 sold, 3 asking"
118,"Raven Arms M6-25 Auto",50,41.5,-8.5,NO-GO,80,114,135.5,39.94,NO-GO,"auto: RAVEN ARMS MP-25 .25 ACP (6.5MM) (Used, score 83) - 80 sold, 1 asking"
119,"Ruger P90DC .45 ACP",275,,,,0,,,,no-comps,"no catalog match for this manufacturer/model"
120,"Ruger Charger .22 LR",375,702.47,327.47,GO,26,935.5,1000,437.89,GO,"auto: RUGER 22 CHARGER .22 HORNET (Used, score 75) - 26 sold, 0 asking"
121,"Tisas ZIG M1911 .45 ACP",275,204.98,-70.02,NO-GO,109,320,353,-32.94,NO-GO,"auto: TISAS 1911 .45 ACP (Used, score 95) - 109 sold, 1355 asking"
122,"Tisas ZIG M1911 .45 ACP",275,204.98,-70.02,NO-GO,109,320,353,-32.94,NO-GO,"auto: TISAS 1911 .45 ACP (Used, score 95) - 109 sold, 1355 asking"
123,"Smith & Wesson SW40VE .40 S&W",175,78.01,-96.99,NO-GO,37,160,190,-64.89,NO-GO,"auto: SMITH & WESSON 40 .40 S&W (Used, score 95) - 37 sold, 1 asking"
124,"Taurus 85 30 SPL",90,117.69,27.69,GO,237,210,242,82.8,GO,"auto: TAURUS 85 .38 SPL. (Used, score 85) - 237 sold, 6 asking"
125,"Stevens 59A .410",275,,,,0,,,,no-comps,"no catalog match for this manufacturer/model"
126,"Iver Johnson US Carbine .22 LR",150,,,,0,,,,no-comps,"no catalog match for this manufacturer/model"
127,"Sears 10140B 20ga",95,,,,0,,,,no-comps,"no catalog match for this manufacturer/model"
128,"Springfield 15 22 S,L,LR",65,361.67,296.67,GO,11,515,550,401.41,GO,"auto: SPRINGFIELD SAINT AR-15 5.56MM NATO (Used, score 85) - 11 sold, 23 asking"
129,"Hopkins & Allen Arms Co. Safety Police",150,,,,0,,,,no-comps,"no catalog match for this manufacturer/model"
130,"Rg Industries RG 14",50,,,,0,,,,no-comps,"no catalog match for this manufacturer/model"
131,"Rohm RG 10 22 Short",55,,,,0,,,,no-comps,"no catalog match for this manufacturer/model"
132,"Connecticut Valley Arms Inc Plainsman 50 Black Powder Only",80,,,,0,,,,no-comps,"no catalog match for this manufacturer/model"
133,"Ruger Mini 14 Semi Automatic with and Original Wood Stock",400,438.67,38.67,GO,324,610,700,95.8,GO,"auto: RUGER MINI-14 .223 REM. (Used, score 85) - 324 sold, 223 asking"
134,"Bearman Industries Two Shot Derringer , Stainless Finish",100,,,,0,,,,no-comps,"no catalog match for this manufacturer/model"
